code,name,semester,status,slots,note
CB43214,国際教養PBL,2,code_missing,tue3,CSVにコードなし
CB43230,多文化特定課題,2,name_mismatch,tue3,同コードで授業名不一致
CB43228,読んで書いて話す,2,name_mismatch,tue3,同コードで授業名不一致
CB43227,日本語H,2,name_mismatch,tue3,同コードで授業名不一致
CB44203,国際教養PBL,2,code_missing,wed4,CSVにコードなし
CB44204,多文化PBL,2,slot_mismatch,wed4,曜日/講時が一致しない: 水4
CB44206,教育の制度と経営,2,slot_mismatch,wed4,曜日/講時が一致しない: 水4
CB42210,多文化特定課題,2,name_mismatch,thu2,同コードで授業名不一致
CB45201,情報教育特別講義（AIをめぐる人間と社会）,2,name_mismatch,thu5,同コードで授業名不一致
CB45204,福島の復興・再生,2,name_mismatch,wed5,同コードで授業名不一致
CB45205,物理の思想と美学,2,name_mismatch,wed5,同コードで授業名不一致
CB45206,物理学の最前線と現代社会、そして未来社会,2,name_mismatch,wed5,同コードで授業名不一致
CB45208,アラビア語II,2,name_mismatch,wed5,同コードで授業名不一致
CB45209,多文化PBL,2,name_mismatch,wed4,同コードで授業名不一致
CB45207,多文化特定課題,2,slot_mismatch,wed4,曜日/講時が一致しない: 水4
CB53207,国際事情,2,code_missing,wed5,CSVにコードなし
CB53208,多文化PBL,2,name_mismatch,wed5,同コードで授業名不一致
CB55202,実践的機械学習II,2,slot_mismatch,fri4,曜日/講時が一致しない: 金4
CB55201,日本国憲法,2,ok,fri5,
CB55203,文化理解,2,name_mismatch,fri5,同コードで授業名不一致
CB55204,多文化間コミュニケーション,2,name_mismatch,fri5,同コードで授業名不一致
CB55205,汎用的技能ワークショップ,2,name_mismatch,fri5,同コードで授業名不一致
CB55206,キャリア教育特別講義（ジャーナリズムと社会）,2,name_mismatch,fri5,同コードで授業名不一致
CB55207,キャリア教育特別講義（口腔保健学総論）,2,name_mismatch,fri5,同コードで授業名不一致
CB55210,SDGs入門,2,name_mismatch,fri5,同コードで授業名不一致
CB55211,アルゴリズミック思考の基礎,2,name_mismatch,fri5,同コードで授業名不一致
CB13206,英語II-A,2,ok,mon3,
CB13214,英語II-A,2,ok,mon3,
CB13215,英語II-A,2,ok,mon3,
CB13216,英語II-A,2,ok,mon3,
CB13217,英語II-A,2,ok,mon3,
CB13218,英語II-A,2,ok,mon3,
CB13219,英語II-A,2,ok,mon3,
CB14204,伝統文化と哲学,2,name_mismatch,mon4,同コードで授業名不一致
CB14212,現代経済法の基礎理論,2,name_mismatch,mon4,同コードで授業名不一致
CB14213,現代経済法の基礎理論,2,name_mismatch,mon4,同コードで授業名不一致
CB15201,ナノ・マイクロ科学概論,2,name_mismatch,mon5,同コードで授業名不一致
CB15202,汎用的技能ワークショップ,2,name_mismatch,mon5,同コードで授業名不一致
CB15203,多文化特定課題,2,name_mismatch,mon5,同コードで授業名不一致
CB15204,グローバル特定課題,2,ok,mon5,
CB15206,Jヴィレッジ訪問,2,name_mismatch,mon5,同コードで授業名不一致
CB15207,キャリアデザインA,2,name_mismatch,mon5,同コードで授業名不一致
CB15208,数理統計学概論,2,name_mismatch,mon5,同コードで授業名不一致
CB23206,日本国憲法,2,name_mismatch,tue3,同コードで授業名不一致
CB23207,文化と社会の探求,2,ok,tue3,
CB23208,多文化間コミュニケーション,2,ok,tue3,
CB23209,多文化PBL,2,ok,tue3,
CB23210,グローバル特定課題,2,ok,tue3,
CB24206,天文学概論,2,ok,tue4,
CB24207,数理統計学概論,2,name_mismatch,tue4,同コードで授業名不一致
CB24212,現代経済法の基礎理論,2,name_mismatch,tue4,同コードで授業名不一致
CB24213,多文化社会の探求,2,name_mismatch,tue4,同コードで授業名不一致
CB31219,経済学入門A,2,ok,wed1,
CB31229,物理学概論,2,code_missing,wed1,CSVにコードなし
CB32207,物理学概論,2,name_mismatch,wed2,同コードで授業名不一致
CB32208,化学基礎論,2,name_mismatch,wed2,同コードで授業名不一致
CB32209,解析学概論,2,ok,wed2,
CB32210,文化理解,2,name_mismatch,wed2,同コードで授業名不一致
CB34201,多文化PBL,2,name_mismatch,wed4,同コードで授業名不一致
CB34204,キャリア関連,2,name_mismatch,wed4,同コードで授業名不一致
CB34205,日本文化論,2,name_mismatch,wed4,同コードで授業名不一致
CB54208,英語II-B,2,ok,fri4,
CB54209,英語II-B,2,ok,fri4,
CB54210,英語II-B,2,ok,fri4,
CB55212,グローバルリーダーシップ論,2,name_mismatch,fri5,同コードで授業名不一致
CB55213,アントレプレナーシップ思考,2,name_mismatch,fri5,同コードで授業名不一致
CB55214,グローバル特定課題,2,name_mismatch,fri5,同コードで授業名不一致
CB55215,体育学のすすめ,2,name_mismatch,fri5,同コードで授業名不一致
CB55216,SDGs入門,2,name_mismatch,fri5,同コードで授業名不一致
CB55217,アルゴリズミック思考の基礎,2,name_mismatch,fri5,同コードで授業名不一致
